"","Author","Book","District","State","Notes","BanDate"
"723","Morrison, Toni","The Bluest Eye","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"724","Durrow, Heidi W","The Girl Who Fell From the Sky","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"725","Atwood, Margaret","The Handmaid's tale","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"726","Atwood, Margaret Adapted by Renee Nault","The Handmaid's Tale: The
 Graphic Novel","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"727","Thomas, Angie","The Hate U Give","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"728","Chbosky, Stephen","the Perks of Being a Wallflower","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"729","Atwood, Margaret","The Testaments","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"730","Bertoletti, Susan Campbell","They Called Themselves the KKK: The Birth of an American Terrorist Group","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"731","Dawnson, Juno and David Levithan","This Book Is Gay","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"732","Tamaki, Mariko and Jillian Tamaki","This One Summer","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"733","Bertie, Alex","Trans Mission: My Quest to a Beard","Goddard","Kansas","removed while under review - against published policy after pushback, returned to shelves while policies under review",""
"734","Trueman, Terry","7 Days at the Hot Corner","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"735","Horner, Emily","A Love Story Staring My Dead Friend","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"736","Efaw, Amy","After","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"737","Glines, Abbi","After the Game","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"738","Westerfeld, Scott","Afterworlds","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"739","Reynolds, Jason and Brenden Kiely","All American Boys","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"740","Mitchell, Saundra","All the Things We Do In the Dark","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"741","Katcher, Brian","Almost Perfect","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"742","Juby, Susan","Another Kind of Cowboy","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"743","Saenz, Benjamin Alire","Aristotle and Dante Discover the Secrets of the Universe","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"744","Talley, Robin","As I Descended","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"745","Lo, Malinda","Ash","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"746","King, AS","Ask the Passengers","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"747","Glines, Abbi","Bad for You","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"748","Jennings, Jazz","Being Jazz: My Life as a Transgender Teen","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"749","Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, and Who Decides","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"750","Brooks, Kevin","Black Rabbit Summer","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"751","Thomas, Aiden","Cemetary Boys","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"752","Bayron, Kalynn","Cinderella is dead","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"753","Craft, Jerry","Class Act","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"754","Patterson, James","Cradle and All","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"755","Khorram, Adib","Darius the Great Deserves Better","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"756","Lukavics, Amy","Daughters Unto Devils","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"757","Bell, William","Death Wind","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"758","Wallace, Rich","Dishes","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"759","Telgemeier, Raina","Drama","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"760","O'Connor, Maureen","Equal Rights","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"761","Scelsa, Kate","Fans of the Impossible LIfe","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"762","Sharpe, Tess","Far from you","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"763","Callender, Kacen","Felix ever after","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"764","Sim, Tara","Firestarter","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"765","Quintero, Isabel","Gabi, a girl in pieces","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"766","Hartinger, Brent","Geography Club","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"767","Cohn, Rachel","Gingerbread","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
"768","Limb, Sue","Girl, nearly 16, absolute
 torture","Granbury Independent School District","Texas","Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",""
